Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan,Rasio Beban Ketergantungan,Kepadatan Penduduk (km²),Jumlah Tenaga Kesehatan,Fasilitas Kesehatan,Angka Kesakitan,Umur Harapan Hidup,Jaminan Kesehatan (PBI),Imunisasi Campak (%),Angka Harapan Sekolah (Thn),Rata-rata Lama Sekolah (Thn),AMH,APK SMA,Sarana Pendidikan,APM SMA (%),TPAK (%),TPT (%),Rata-Rata Upah/Gaji Buruh / Karyawan (juta),Angkatan Kerja,Gini Rasio,Konsumsi/Pengeluaran,Penduduk Miskin (%),Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Garis Kemiskinan,Sanitasi Layak,Sumber Penerangan PLN,Air Minum Layak,Rumah Layak Huni,Persentase Pengguna Internet Penduduk
Kabupaten Pacitan,588.6,0.1,46.76,411,223,221,8.53,74.98,43.32,81.52,12.69,7.9,94.59,92.17,36.63,84.81,86.62,1.56,2106860,419.721,0.327,921.999,13.08,1.49,0.25,386174,83.57,99.95,86.55,71.34,62.99
Kabupaten Ponorogo,962.9,0.36,45.41,681,392,384,8.96,75.61,45.43,80.56,13.78,7.8,91.93,92.6,36.48,83.84,78.75,4.19,2227687,618.25,0.326,1089373,9.11,1.02,0.17,428183,93.28,100,97.09,88.88,71.02
Kabupaten Trenggalek,744.5,0.46,43.9,598,260,250,7.62,75.63,44.16,84.34,12.63,7.92,97.09,95.42,37.58,81.14,80.08,3.9,2262479,482.897,0.35,968.997,10.5,1.43,0.28,450334,86.53,99.92,86.65,72.34,68.11
Kabupaten Tulungagung,1113.9,0.55,42.99,978,430,443,15.39,75.51,38.49,77.41,13.36,8.68,97.19,89.48,25.09,82.04,75.57,4.12,2067087,678.314,0.321,1077898,6.28,0.6,0.1,463364,90.08,99.85,99.72,86.47,74.76
Kabupaten Blitar,1263.7,0.83,44.47,730,371,412,11.88,75.63,44.39,85.26,12.67,7.87,96.99,93.41,26.61,73.67,72.36,4.77,2135680,730.704,0.353,1087302,8.16,0.8,0.12,417158,88.19,100,98.88,83.91,76.76
Kabupaten Kediri,1689.9,0.82,42.87,1117,552,591,12.14,75.41,48.35,72.21,13.63,8.26,97.54,88.23,33.14,81.87,71.31,5.1,1896553,952.912,0.3,1044733,9.95,1.22,0.24,419486,94.35,100,94.07,83.3,68.3
Kabupaten Malang,2736,0.77,42.26,793,648,720,14.42,75.63,31.8,73.81,13.49,7.8,95.99,90.06,60.77,71.45,72.9,5.13,2320203,1579212,0.343,1160954,8.98,0.98,0.16,436153,89.16,100,96.94,79.72,70.33
Kabupaten Lumajang,1145.9,0.6,43.57,641,311,312,8.41,74.8,39.37,71.62,12.41,7.27,93.87,88.74,59.51,64.7,70.86,3.28,1905206,648.582,0.363,1274477,8.65,1.23,0.26,420165,82.91,99.36,94.01,71.92,58.7
Kabupaten Jember,2603.8,0.67,42.52,791,437,490,22.36,74.37,40.67,71.59,13.5,6.54,90.93,79.92,104.44,74.35,73.76,3.23,2093103,1530401,0.321,1111191,9.01,1.01,0.18,474903,72.92,99.97,97.51,70.17,62.46
Kabupaten Banyuwangi,1754.4,0.66,44.16,491,423,440,18.88,74.43,51.49,76.85,13.14,7.78,95.52,104.14,72.81,79.98,75.36,4.03,2192186,1051994,0.312,1516296,6.54,0.44,0.06,485012,87.92,99.87,98.55,83.72,73.07
